C:\Projetos\Avalia\Digitalizados\,1,1,1,17231788881471,24
C:\Projetos\Avalia\Digitalizados\,2,1,1,17231788891471,24
C:\Projetos\Avalia\Digitalizados\,3,1,1,17231788901471,24
C:\Projetos\Avalia\Digitalizados\,4,1,1,17231788911471,24
C:\Projetos\Avalia\Digitalizados\,5,1,1,17231788921471,24
C:\Projetos\Avalia\Digitalizados\,6,1,1,17231788931471,24
C:\Projetos\Avalia\Digitalizados\,7,1,1,17231788941471,24
C:\Projetos\Avalia\Digitalizados\,8,1,1,17231788951471,24
C:\Projetos\Avalia\Digitalizados\,9,1,1,17231788961471,24
C:\Projetos\Avalia\Digitalizados\,10,1,1,17231788971471,24
