,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
43_17231816197641.png,E,B,A,C,E,D,B,C,C,B,A,A,D,D,D,A,E,A,B,C,A,A,D,C,D,D,B,A,D,C,D,D,A,A,B,C,E,C,B,D,A,C,C,D,A,B,D,A,C,B,B,B,C,A,C,A,A,C,A,D,B,C,C,B,C,A,A,A,A,D,D,A,C,C,D
43_17232126987641.png,E,A,A,A,B,E,D,C,A,D,B,A,A,D,B,A,E,A,C,E,A,D,A,C,E,C,B,B,D,B,E,A,A,B,D,D,A,D,A,B,C,A,E,A,B,D,B,C,C,A,D,B,A,D,C,D,B,D,D,A,D,D,A,A,D,E,B,A,A,B,C,C,C,D,C
43_17232126887641.png,E,E,B,C,E,D,B,C,C,B,C,A,E,D,D,C,C,A,B,C,A,A,D,C,A,D,B,A,A,E,D,C,A,A,B,D,C,C,B,D,C,C,C,D,A,A,B,A,B,C,C,B,A,A,C,A,A,B,A,B,B,C,C,C,D,C,A,B,A,C,C,B,A,B,C
43_17231816227641.png,E,B,A,C,E,D,B,C,C,B,C,A,E,D,D,C,E,A,B,B,A,D,A,C,D,D,B,A,B,C,D,D,A,A,B,A,E,C,A,D,A,C,C,D,A,A,B,A,E,B,B,C,C,A,C,A,A,B,A,D,B,C,C,B,C,A,C,B,A,D,D,C,A,D,C
43_17231816217641.png,E,B,A,C,E,D,B,C,C,B,C,A,E,D,D,C,E,A,B,B,A,C,A,C,D,D,B,A,B,C,D,D,A,A,B,A,E,D,B,D,A,C,D,D,A,A,B,A,E,B,B,B,C,A,C,A,A,C,A,D,B,C,C,B,C,A,C,B,A,D,D,C,A,D,C
43_17231816207641.png,E,B,A,C,E,D,B,C,C,B,C,A,E,D,D,C,E,A,B,B,A,D,A,C,C,D,B,A,B,C,D,D,A,A,B,A,E,D,A,D,A,C,D,D,A,A,B,A,E,B,B,B,C,A,C,A,A,C,A,D,B,C,C,B,C,A,C,B,A,D,D,C,A,D,C
43_17232126997641.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
43_17231816337641.png,E,B,A,B,E,D,B,C,C,B,C,A,E,C,D,C,B,A,B,C,A,D,D,A,D,D,B,A,C,A,D,C,E,A,B,A,E,C,B,D,A,C,E,D,A,A,B,C,C,B,C,A,A,A,C,A,A,A,A,D,B,C,C,B,E,E,C,B,A,D,B,B,D,B,D
43_17231816187641.png,E,B,A,C,E,D,B,C,C,B,D,E,E,D,D,C,E,A,B,C,A,A,D,C,D,D,B,A,B,C,D,D,A,A,B,A,E,C,B,D,A,C,C,D,A,A,C,B,C,B,B,B,C,A,C,A,A,C,A,D,C,C,C,B,C,D,A,C,A,D,C,D,B,B,C
43_17232126877641.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
43_17232126907641.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
43_17231816137641.png,E,C,A,C,E,D,B,C,C,B,C,A,E,D,D,C,D,A,B,B,A,C,A,C,D,D,B,A,B,A,D,D,A,B,B,A,E,E,A,D,A,B,D,D,A,A,B,A,E,B,B,B,C,A,C,B,A,C,A,D,B,C,C,B,C,A,C,B,A,D,D,C,A,D,C
43_17231816297641.png,E,B,A,C,E,D,B,C,C,B,C,A,B,D,D,C,E,A,C,B,A,C,A,C,D,D,B,A,B,C,D,E,A,A,D,B,E,C,B,B,A,B,C,D,A,A,B,A,D,C,B,B,C,A,C,A,A,C,A,A,A,C,C,B,A,E,C,B,C,D,A,B,B,A,A
43_17232126867641.png,E,B,A,C,E,D,C,C,D,B,E,A,D,D,B,B,E,A,C,C,A,E,D,C,D,D,B,A,B,A,D,A,A,A,B,B,E,B,B,D,A,C,C,D,A,A,C,D,B,A,B,C,A,B,C,A,A,A,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
43_17232185957641.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
43_17231816357641.png,E,B,A,C,E,D,B,C,C,B,C,D,B,A,D,C,E,A,B,B,A,C,A,C,D,D,B,A,B,C,D,D,A,A,B,B,E,C,B,D,A,C,C,D,A,A,B,A,D,B,B,B,C,A,B,A,A,C,C,D,B,C,C,B,C,A,B,A,A,D,C,C,A,D,A
43_17231816087641.png,E,B,A,C,E,C,B,C,C,B,C,D,C,A,D,C,E,A,B,B,A,C,A,C,D,D,B,A,B,C,D,D,A,A,B,B,E,C,B,D,A,C,C,E,A,A,B,A,D,C,B,B,C,A,C,A,A,C,C,D,B,C,C,B,D,A,C,A,A,D,A,C,A,D,A
43_17231816127641.png,E,B,A,C,E,D,B,D,D,B,C,A,E,D,D,C,E,A,C,B,A,C,A,C,D,D,B,A,B,C,D,D,A,A,D,E,E,C,B,D,A,C,C,D,A,A,B,A,E,B,B,B,C,A,C,A,A,C,A,D,B,C,C,B,C,A,C,B,A,D,D,D,A,D,C
43_17231816327641.png,E,E,A,B,E,D,B,C,C,B,A,A,E,D,D,C,E,A,B,C,A,C,D,C,D,D,B,B,A,A,D,C,A,A,B,E,E,B,B,B,B,A,C,D,A,A,D,A,B,B,B,B,C,A,C,A,A,C,A,D,B,C,C,B,C,A,C,A,A,D,D,A,C,C,D
43_17231816167641.png,E,B,A,C,E,D,B,C,C,B,C,A,E,D,E,D,E,A,B,C,A,A,A,C,D,E,B,A,C,A,D,D,E,A,B,B,E,B,B,D,A,C,E,D,A,A,C,D,E,B,A,A,B,A,A,A,C,C,A,D,B,C,C,A,A,C,B,D,C,A,E,B,C,D,E
43_17231816317641.png,E,B,A,B,E,D,E,C,C,B,C,A,C,D,C,D,E,A,B,B,B,A,A,C,D,D,B,A,B,A,D,A,A,A,D,C,E,E,B,D,E,C,E,E,A,B,B,B,A,B,B,A,C,A,D,A,C,A,C,B,B,D,C,B,C,D,C,A,B,D,D,B,C,C,B
43_17231816257641.png,E,B,A,C,E,D,B,C,C,B,C,A,E,D,D,C,E,A,B,B,A,C,A,C,D,D,B,A,B,C,D,D,A,A,B,A,E,B,B,D,A,C,D,D,A,A,B,A,E,B,B,B,C,A,C,A,A,C,A,E,B,C,C,B,C,A,C,B,A,D,D,C,A,D,C
