,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
20_17232205456491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,C,D,A,B,B,B,A,C,B,B,D,C,D,A,B,B,D,A,A,B,C,A,B,B,B,C,C,A,B,B,B,A
20_17232205306491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,A,B,A,B,B,C,D,C,D,B,B,D,D,C,D,B,D,B,A,B,A,E,B,B,B,A,A,A,A,A,B,A
20_17232205236491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,D,A,B,B,C,B,A,A,C,D,C,D,C,C,B,E,A,A,B,B,D,B,B,B,B,C,C,D,B,D,E
20_17232205516491.png,A,B,D,B,B,B,C,#,#,#,#,#,#,#,#,#,#,#,#,#,A,B,D,B,B,B,C,A,E,A,D,C,D,C,B,B,E,A,A,C,B,B,B,C,C,A,A,D,E,C,C,B
20_17232205766491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,B,D,A,B,B,C,D,A,C,B,D,C,D,C,C,A,D,A,A,D,C,C,B,B,B,C,A,D,B,B,C,B
20_17232205206491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
20_17232205746491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,A,D,A,D,B,D,D,D,C,D,C,C,D,C,A,D,B,A,B,D,D,B,D,C,D,C,B,E,C,D,C
20_17232204906491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,B,A,B,B,B,A,B,C,B,B,C,D,D,D,A,E,B,A,D,C,B,A,B,C,D,C,C,C,A,E,B
20_1723182486501.png,B,C,B,E,E,D,C,D,B,A,D,A,C,A,A,E,A,D,C,D,D,A,A,B,B,E,B,B,B,C,A,A,A,A,D,B,B,D,C,B,B,C,B,C,C,C,A,B,A,C,B,C
20_17232205616491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,C,D,D,B,B,B,D,A,A,B,D,C,A,A,D,B,D,A,A,B,D,A,B,B,B,C,A,C,E,A,D,B
